**NO**,**LINK**,**NAME**,**DESCRIPTION**,**PATH**,**DIFFICULTY**,**ROOM TYPE**,**SUBSCRIPTION TYPE**,**DURATION**,**CREATED DATE**,**TOOL TYPES**,**SPECIFIC TOOLS**,**COLOR**,**TARGET SYSTEMS**
102,https://tryhackme.com/r/room/powershell,Hacking with PowerShell,Learn the basics of PowerShell and PowerShell Scripting,Offensive Pentesting,Easy,Walkthrough,Premium,30,28.04.2020,Scripting and Automation Tools,Powershell,-,Windows
103,https://tryhackme.com/r/room/cicada3301vol1,Cicada-3301 Vol:1,A basic steganography and cryptography challenge room based on the Cicada 3301 challenges,,Medium,CTF,Free,0,30.04.2020,,,,
104,https://tryhackme.com/r/room/tonythetiger,Tony the Tiger,Learn how to use a Java Serialisation attack in this boot-to-root,,Easy,Walkthrough,Free,0,01.05.2020,"Network Scanning Tools, Scripting and Automation Tools, Password Cracking Tools, Encoding/Decoding Tools, Privilege Escalation Techniques and Tools",nmap,Red,Linux
105,https://tryhackme.com/r/room/windowsprivescarena,Windows PrivEsc Arena,Students will learn how to escalate privileges using a very vulnerable Windows 7 VM. RDP is open. Your credentials are user:password321,,Medium,Walkthrough,Free,0,01.05.2020,,,,
106,https://tryhackme.com/r/room/convertmyvideo,ConvertMyVideo,My Script to convert videos to MP3 is super secure,,Medium,CTF,Free,0,02.05.2020,,,,
107,https://tryhackme.com/r/room/ironcorp,Iron Corp,Can you get access to Iron Corp's system?,,Hard,CTF,Free,0,03.05.2020,,,,
108,https://tryhackme.com/r/room/networkservices,Network Services,"Learn about, then enumerate and exploit a variety of network services and misconfigurations.","Cyber Defense, Complete Beginner",Easy,Walkthrough,Free,60,05.05.2020,"Penetration Testing Tools, Network Scanning Tools, Traffic Analysis Tools, OS Terminal Tools, Password Cracking Tools","nmap, smbclient, tcpdump, Metasploit, hydra",Red,-
109,https://tryhackme.com/r/room/racetrackbank,Racetrack Bank,It's time for another heist.,,Hard,CTF,Free,0,08.05.2020,,,,
110,https://tryhackme.com/r/room/kothfoodctf,KoTH Food CTF,"Practice Food KoTH alone, to get familiar with KoTH!",,Easy,CTF,Free,0,10.05.2020,,,,
111,https://tryhackme.com/r/room/theimpossiblechallenge,The Impossible Challenge,Hmm,,Medium,CTF,Free,0,11.05.2020,,,,
112,https://tryhackme.com/r/room/anthem,Anthem,Exploit a Windows machine in this beginner level challenge.,,Easy,CTF,Free,0,15.05.2020,,,,
113,https://tryhackme.com/r/room/anonymous,Anonymous,Not the hacking group,,Medium,CTF,Free,0,17.05.2020,,,,
114,https://tryhackme.com/r/room/jvmreverseengineering,JVM Reverse Engineering,Learn Reverse Engineering for Java Virtual Machine bytecode,,Medium,CTF,Free,0,17.05.2020,,,,
115,https://tryhackme.com/r/room/corp,Corp,"Bypass Windows Applocker and escalate your privileges. You will learn about kerberoasting, evading AV, bypassing applocker and escalating your privileges on a Windows system.",Offensive Pentesting,Easy,CTF,Premium,0,20.05.2020,"Password Cracking Tools, Privilege Escalation Techniques and Tools, OS Terminal Tools, Encoding/Decoding Tools","hashcat, PowerUp1.ps1",Red,Windows
116,https://tryhackme.com/r/room/lianyu,Lian_Yu,A beginner level security challenge,,Easy,CTF,Free,0,22.05.2020,"Web Scanning Tools, Coding/Decoding Tools, Steganography Tools, Privilege Escalation Techniques","wfuzz, ",Red,Linux
117,https://tryhackme.com/r/room/postexploit,Post-Exploitation Basics,"Learn the basics of post-exploitation and maintaining access with mimikatz, bloodhound, powerview and msfvenom",,Easy,Walkthrough,Free,0,26.05.2020,"Privilege Escalation Techniques and Tools, Password Cracking Tools, Scripting and Automation Tools","powerview, mimikatz, bloodhound,",Red,Windows
118,https://tryhackme.com/r/room/django,Introduction to Django,How it works and why should I learn it?,,Easy,Walkthrough,Free,0,28.05.2020,Network Scanning Tools,nmap,-,-
119,https://tryhackme.com/r/room/eritsecurusi,Erit Securus I,Learn to exploit the BoltCMS software by researching exploit-db.,,Easy,Walkthrough,Premium,0,29.05.2020,"Network Scanning Tools,  Scripting and Automation Tools",nmap,Red,Linux
120,https://tryhackme.com/r/room/wonderland,Wonderland,Fall down the rabbit hole and enter wonderland.,,Medium,CTF,Free,0,05.06.2020,,,,
121,https://tryhackme.com/r/room/pythonplayground,Python Playground,Be creative!,,Hard,CTF,Free,0,07.06.2020,,,,
122,https://tryhackme.com/r/room/mindgames,Mindgames,Just a terrible idea...,,Medium,CTF,Free,0,10.06.2020,,,,
123,https://tryhackme.com/r/room/tutorial,Tutorial,Learn how to use a TryHackMe room to start your upskilling in cyber security.,"Offensive Pentesting, Cyber Defense, Complete Beginner",Easy,Walkthrough,Free,15,12.06.2020,-,-,-,-
124,https://tryhackme.com/r/room/hello,Welcome,Learn how to use a TryHackMe room to start your upskilling in cyber security.,,Easy,Walkthrough,Free,0,12.06.2020,-,-,-,-
125,https://tryhackme.com/r/room/carpediem1,Carpe Diem 1,Recover your clients encrypted files before the ransomware timer runs out!,,Hard,CTF,Free,0,12.06.2020,,,,
126,https://tryhackme.com/r/room/tempusfugitdurius,Tempus Fugit Durius,"The latin word Durius means ""harder""",,Hard,CTF,Premium,0,15.06.2020,,,,
127,https://tryhackme.com/r/room/breakoutthecage1,Break Out The Cage,Help Cage bring back his acting career and investigate the nefarious goings on of his agent!,,Easy,CTF,Free,0,15.06.2020,,,,
128,https://tryhackme.com/r/room/attackingkerberos,Attacking Kerberos,Learn how to abuse the Kerberos Ticket Granting Service inside of a Windows Domain Controller,Cyber Defense,Easy,Walkthrough,Premium,0,16.06.2020,"Password Cracking Tools,Privilege Escalation Techniques and Tools, Penetration Testing Tools, Password Cracking Tools, Privilege Escalation Techniques and Tools","Kerbrute, Rubeus, Impacket, hashcat, mimikatz",Red,Windows
129,https://tryhackme.com/r/room/haskhell,HaskHell,Teach your CS professor that his PhD isn't in security.,,Medium,CTF,Free,0,17.06.2020,,,,
130,https://tryhackme.com/r/room/yotf,Year of the Fox,Don't underestimate the sly old fox...,,Hard,CTF,Free,0,18.06.2020,,,,
131,https://tryhackme.com/r/room/kothhackers,KoTH Hackers,"The Hackers KoTH box, to allow you to practice alone!",,Medium,CTF,Free,0,18.06.2020,,,,
132,https://tryhackme.com/r/room/linuxprivescarena,Linux PrivEsc Arena,Students will learn how to escalate privileges using a very vulnerable Linux VM. SSH is open. Your credentials are TCM:Hacker123,Complete Beginner,Medium,Walkthrough,Free,0,24.06.2020,"Password Cracking Tools, Privilege Escalation, OS Terminal Tools","linux-exploit-suggester, unshadow, hashcat, johnThe Ripper",Red,Linux
133,https://tryhackme.com/r/room/windows10privesc,Windows PrivEsc,Practice your Windows Privilege Escalation skills on an intentionally misconfigured Windows VM with multiple ways to get admin/SYSTEM! RDP is available. Credentials: user:password321,,Medium,Walkthrough,Free,0,24.06.2020,"Penetration Testing Tools, Scripting, Automation and Terminal Tools, Password Cracking Tools, OS Terminal Tools, Privilege Escalation Techniques and Tools","msfvenom, accesschk, net, msiexec, hashcat, pth-winexe, socat, winexe, pth-winexe, winPEASany.exe, Seatbelt.exe, PowerUp.ps1 SharpUp.exe",Red,Windows
134,https://tryhackme.com/r/room/hashingcrypto101,Hashing - Crypto 101,"An introduction to Hashing, as part of a series on crypto",Complete Beginner+,Medium,Walkthrough,Premium,30,24.06.2020,Hashing Tools,-,"Red, Blue",Linux
135,https://tryhackme.com/r/room/davesblog,Dave's Blog,My friend Dave made his own blog!,,Hard,CTF,Free,0,26.06.2020,,,,
136,https://tryhackme.com/r/room/rpnessusredux,Nessus,"Learn how to set up and use Nessus, a popular vulnerability scanner.",Cyber Defense,Easy,Walkthrough,Free,0,29.06.2020,Vulnerability Assessment Tools,Nessus,Red,-
137,https://tryhackme.com/r/room/ra,Ra,You have found WindCorp's internal network and their Domain Controller. Can you pwn their network?,,Hard,CTF,Free,0,03.07.2020,,,,
138,https://tryhackme.com/r/room/source,Source,"Exploit a recent vulnerability and hack Webmin, a web-based system configuration tool.",,Easy,CTF,Free,0,07.07.2020,,,,
139,https://tryhackme.com/r/room/attackerkb,AttackerKB,Learn how to leverage AttackerKB and learn about exploits in your workflow!,,Easy,Walkthrough,Free,0,07.07.2020,Threat Intelligence Tools,"AttackerKB, AKB Explorer ",Red,Linux
140,https://tryhackme.com/r/room/blog,Blog,Billy Joel made a Wordpress blog!,,Medium,CTF,Free,0,10.07.2020,,,,
141,https://tryhackme.com/r/room/owasptop10,OWASP Top 10,Learn about and exploit each of the OWASP Top 10 vulnerabilities; the 10 most critical web security risks.,,Easy,Walkthrough,Free,120,13.07.2020,"Scripting, Automation and Terminal Tools, Password Cracking Tools, Privilege Escalation Techniques",-,Red,Linux
142,https://tryhackme.com/r/room/overpass,Overpass,What happens when some broke CompSci students make a password manager?,,Easy,CTF,Free,0,17.07.2020,"Steganography Tools, Encoding/Decoding Tools, Network Scanning Tools, Privilege Escalation Techniques and Tools, Password Cracking Tools",-,Red,"Linux, Web"
143,https://tryhackme.com/r/room/set,Set,Once again you find yourself on the internal network of the Windcorp Corporation.,,Hard,CTF,Premium,60,24.07.2020,,,,
144,https://tryhackme.com/r/room/brooklynninenine,Brooklyn Nine Nine,This room is aimed for beginner level hackers but anyone can try to hack this box. There are two main intended ways to root the box.,,Easy,CTF,Free,15,25.07.2020,"Network Scanning Tools, Steganography Tools, Password Cracking Tools, Privilege Escalation Techniques",-,Red,Linux
145,https://tryhackme.com/r/room/smaggrotto,Smag Grotto,Follow the yellow brick road.,,Easy,CTF,Free,0,29-07-2020,,,,
146,https://tryhackme.com/r/room/cowboyhacker,Bounty Hacker,You talked a big game about being the most elite hacker in the solar system. Prove it and claim your right to the status of Elite Bounty Hacker!,,Easy,CTF,Free,0,30-07-2020,,,,
147,https://tryhackme.com/r/room/recovery,Recovery,Not your conventional CTF,,Medium,CTF,Free,0,31-07-2020,,,,
148,https://tryhackme.com/r/room/easypeasyctf,Easy Peasy,Practice using tools such as Nmap and GoBuster to locate a hidden directory to get initial access to a vulnerable machine. Then escalate your privileges through a vulnerable cronjob.,,Easy,CTF,Free,0,02.08.2020,"Network Scanning Tools, Web Scanning Tools, Steganography Tools, Password Cracking Tools",-,Red,Linux
149,https://tryhackme.com/r/room/malresearching,MAL: Researching,"Understanding checksums, how to generate them and their use throughout malware analysis with online sandboxing & reporting services",,Easy,Walkthrough,Free,0,04.08.2020,Encoding/Decoding Tools,-,Blue,-
150,https://tryhackme.com/r/room/iotintro,Intro to IoT Pentesting,A beginner friendly walkthrough for internet of things (IoT) pentesting.,,Easy,Walkthrough,Free,0,05.08.2020,"Reverse Engineering Tools, Web Penetration Tools","binwalk, firmware analysis toolkit, Burp Suite",Red,IoT
151,https://tryhackme.com/r/room/ra2,Ra 2,Just when they thought their hashes were safe... Ra 2 - The sequel!,,Hard,CTF,Premium,0,07.08.2020,,,,
152,https://tryhackme.com/r/room/bufferoverflowprep,Buffer Overflow Prep,Practice stack based buffer overflows!,Offensive Pentesting,Easy,CTF,Free,0,08.08.2020,Reverse Engineering Tools,Immunity Debugger,Red,Windows
153,https://tryhackme.com/r/room/pokemon,Gotta Catch'em All!,This room is based on the original Pokemon series. Can you obtain all the Pokemon in this room?,,Easy,CTF,Free,0,09.08.2020,,,,
154,https://tryhackme.com/r/room/bolt,Bolt,A hero is unleashed,,Easy,Walkthrough,Free,0,12.08.2020,"Network Scanning Tools, OSINT Techniques and Tools, Penetration Testing Tools, Web Scanning Tools",Metasploit,Red,-
155,https://tryhackme.com/r/room/anonymousplayground,Anonymous Playground,Want to become part of Anonymous? They have a challenge for you. Can you get the flags and become an operative?,,Hard,CTF,Free,0,13.08.2020,,,,
156,https://tryhackme.com/r/room/overpass2hacked,Overpass 2 - Hacked,Overpass has been hacked! Can you analyse the attacker's actions and hack back in?,Offensive Pentesting,Easy,Walkthrough,Free,0,14.08.2020,"Password Cracking Tools, Traffic Analysis Tools, Network Scanning Tools",Wireshark,Red,Linux
157,https://tryhackme.com/r/room/harder,harder,Real pentest findings combined,,Medium,CTF,Free,0,15.08.2020,,,,
158,https://tryhackme.com/r/room/lookingglass,Looking Glass,Step through the looking glass. A sequel to the Wonderland challenge room.,,Medium,CTF,Free,0,16.08.2020,,,,
159,https://tryhackme.com/r/room/spring,Spring,Can you hack your way in to a Hello World application?,,Hard,CTF,Free,45,19.08.2020,,,,
160,https://tryhackme.com/r/room/relevant,Relevant,Penetration Testing Challenge,Offensive Pentesting,Medium,CTF,Free,0,21.08.2020,,,,
161,https://tryhackme.com/r/room/internal,Internal,Penetration Testing Challenge,Offensive Pentesting,Hard,CTF,Free,0,22.08.2020,,,,
162,https://tryhackme.com/r/room/githappens,Git Happens,"Boss wanted me to create a prototype, so here it is! We even used something called ""version control"" that made deploying this really easy!",,Easy,CTF,Free,0,23.08.2020,,,,
163,https://tryhackme.com/r/room/owaspjuiceshop,OWASP Juice Shop,This room uses the Juice Shop vulnerable web application to learn how to identify and exploit common web application vulnerabilities.,"DevSecOps, CompTIA Pentest+, Web Fundamentals, Complete Beginner",Easy,Walkthrough,Free,120,28.08.2020,"Web Penetration Tools, Database Tools, Password Cracking Tools, Scripting, Automation and Terminal Tools",-,Red,Linux
164,https://tryhackme.com/r/room/kiba,kiba,"Identify the critical security flaw in the data visualization dashboard, that allows execute remote code execution.",,Easy,CTF,Free,0,28.08.2020,,,,
165,https://tryhackme.com/r/room/gamingserver,GamingServer,An Easy Boot2Root box for beginners,,Easy,CTF,Free,0,30.08.2020,,,,
166,https://tryhackme.com/r/room/theseus,Theseus,The first installment of the SuitGuy series of very hard challenges.,,Insane,CTF,Free,0,31.08.2020,,,,
167,https://tryhackme.com/r/room/uploadvulns,Upload Vulnerabilities,Tutorial room exploring some basic file-upload vulnerabilities in websites,"Web Fundamentals, Complete Beginner",Easy,Walkthrough,Premium,0,02.09.2020,"Web Scanning Tools, Penetration Testing Tools, Web Penetration Tools, Scripting and Automation Tools",-,Red,Linux
168,https://tryhackme.com/r/room/wwbuddy,WWBuddy,Exploit this website still in development and root the room.,,Medium,CTF,Free,0,02.09.2020,,,,
169,https://tryhackme.com/r/room/theblobblog,The Blob Blog,Successfully hack into bobloblaw's computer,,Medium,CTF,Free,0,02.09.2020,,,,
170,https://tryhackme.com/r/room/encryptioncrypto101,Encryption - Crypto 101,"An introduction to encryption, as part of a series on crypto",Complete Beginner,Medium,Walkthrough,Free,45,02.09.2020,-,-,Blue,-
171,https://tryhackme.com/r/room/androidhacking101,Android Hacking 101,Android Mobile Application Penetration Testing,,Medium,Walkthrough,Free,0,03.09.2020,,,,
172,https://tryhackme.com/r/room/ghizerctf,Ghizer,lucrecia has installed multiple web applications on the server.,,Medium,CTF,Free,0,04.09.2020,,,,
173,https://tryhackme.com/r/room/jacobtheboss,Jacob the Boss,Find a way in and learn a little more.,,Medium,CTF,Free,0,06.09.2020,,,,
174,https://tryhackme.com/r/room/rrootme,RootMe,"A ctf for beginners, can you root me?",,Easy,CTF,Free,0,10.09.2020,"Web Scanning Tools, Network Scanning Tools, Scripting and Automation Tools",-,Red,Linux
175,https://tryhackme.com/r/room/poster,Poster,The sys admin set up a rdbms in a safe way.,,Easy,CTF,Free,0,11.09.2020,,,,
176,https://tryhackme.com/r/room/networkservices2,Network Services 2,Enumerating and Exploiting More Common Network Services & Misconfigurations,"Cyber Defense, Complete Beginner",Easy,Walkthrough,Premium,60,16.09.2020,"OS Terminal Tools, Password Cracking Tools",hydra,Red,-
177,https://tryhackme.com/r/room/rust,Learn Rust,Learn Rust for someone who knows programming but doesn't know low level programming,,Easy,Walkthrough,Free,0,16.09.2020,-,-,-,-
178,https://tryhackme.com/r/room/forbusinessreasons,For Business Reasons,"In your network scan, you found an unknown VM....",,Hard,CTF,Free,0,18.09.2020,,,,
179,https://tryhackme.com/r/room/ctfonepiece65,One Piece,A CTF room based on the wonderful manga One Piece. Can you become the Pirate King?,,Medium,CTF,Free,0,20-09-2020,,,,
180,https://tryhackme.com/r/room/iosforensics,iOS Forensics,Learn about the data acquisition techniques and tools used in iOS device digital forensics!,,Easy,Walkthrough,Premium,0,22.09.2020,Reverse Engineering Tools,HdX,Red,iOS
181,https://tryhackme.com/r/room/tmuxremux,REmux The Tmux,"Updated, how to use tmux guide. Defaults and customize your workflow.",,Info,CTF,Free,30,23-09-2020,-,-,-,-
182,https://tryhackme.com/r/room/aster,Aster,Hack my server dedicated for building communications applications.,,Medium,CTF,Free,0,25-09-2020,,,,
183,https://tryhackme.com/r/room/startingoutincybersec,Starting Out In Cyber Sec,Learn about the different career paths in Cyber Security and how TryHackMe can help!,Complete Beginner,Easy,Walkthrough,Free,10,27.09.2020,-,-,Blue,-
184,https://tryhackme.com/r/room/gettingstarted,Getting Started,Get started with TryHackMe by hacking a fake social media website!,,Easy,Walkthrough,Free,0,27-09-2020,-,-,-,-
185,https://tryhackme.com/r/room/mnemonic,Mnemonic,I hope you have fun.,,Medium,CTF,Free,0,27-09-2020,,,,
186,https://tryhackme.com/r/room/printerhacking101,Printer Hacking 101,Learn about (and get hands on with) printer hacking and understand the basics of IPP.,,Easy,Walkthrough,Free,0,29-09-2020,Exploit Tools,PRET,Red,Peripheral
187,https://tryhackme.com/r/room/motunui,Motunui,Hack the island of Motunui.,,Hard,CTF,Free,0,30-09-2020,,,,
188,https://tryhackme.com/r/room/res,Walkthrough,Discover the forensic artefacts present within iOS.,,Easy,CTF,Premium,30,02.10.2020,,,,
189,https://tryhackme.com/r/room/historyofmalware,History of Malware,Join this room to learn about the first forms of malware and how they turned into the malicious code we see today.,Cyber Defense,Info,Walkthrough,Free,30,04.10.2020,-,-,-,-
190,https://tryhackme.com/r/room/toc2,toc2,It's a setup... Can you get the flags in time?,,Medium,CTF,Free,30,06.10.2020,,,,
191,https://tryhackme.com/r/room/zer0logon,Zero Logon,It's a setup... Can you get the flags in time?,Cyber Defense,Hard,Walkthrough,Premium,0,07.10.2020,,,,
192,https://tryhackme.com/r/room/psychobreak,Psycho Break,Learn about and exploit the ZeroLogon vulnerability that allows an attacker to go from Zero to Domain Admin without any valid credentials.,,Easy,CTF,Free,0,09.10.2020,,,,
193,https://tryhackme.com/r/room/yearofthepig,Year of the Pig,Some pigs do fly...,,Hard,CTF,Free,0,11.10.2020,,,,
194,https://tryhackme.com/r/room/revenge,Revenge,You've been hired by Billy Joel to get revenge on Ducky Inc...the company that fired him. Can you break into the server and complete your mission?,,Medium,CTF,Free,0,11.10.2020,,,,
195,https://tryhackme.com/r/room/csp,Content Security Policy,"In this room you'll learn what CSP is, what it's used for and how to recognize vulnerabilities in a CSP header.",,Medium,Walkthrough,Premium,0,13.10.2020,,,,
196,https://tryhackme.com/r/room/misguidedghosts,Misguided Ghosts,Collaboration between Jake and Blob!,,Hard,CTF,Free,0,14.10.2020,,,,
197,https://tryhackme.com/r/room/marketplace,The Marketplace,Can you take over The Marketplace's infrastructure?,,Medium,CTF,Free,0,16.10.2020,,,,
198,https://tryhackme.com/r/room/0day,0day,"Exploit Ubuntu, like a Turtle in a Hurricane",,Medium,CTF,Free,0,18.10.2020,,,,
199,https://tryhackme.com/r/room/physicalsecurityintro,Physical Security Intro,"This room is an introduction to physical security methods to bypass locks, doors and other physical barriers.",,Easy,CTF,Free,0,21.10.2020,-,-,Red,-
200,https://tryhackme.com/r/room/undiscoveredup,Walkthrough,Discover the forensic artefacts present within iOS.,,Medium,CTF,Free,0,23.10.2020,,,,
201,https://tryhackme.com/r/room/intropocscripting,Intro PoC Scripting,Undiscovered,,Easy,Walkthrough,Free,0,23.10.2020,"Penetration Testing Tools, Scripting and Automation Tools, OS Terminal Tools ","searchsploit, Metasploit",Red,Linux
202,https://tryhackme.com/r/room/introtoshells,What the Shell?,Intro PoC Scripting,"Jr Penetration Tester, Complete Beginner",Easy,Walkthrough,Premium,0,27.10.2020,"Penetration Testing Tools, Scripting and Automation Tools, OS Terminal Tools, ",Metasploit,Red,Linux
203,https://tryhackme.com/r/room/nerdherd,NerdHerd,An introduction to sending and receiving (reverse/bind) shells when exploiting target machines.,,Medium,CTF,Free,0,28.10.2020,,,,
204,https://tryhackme.com/r/room/nislinuxone,NIS - Linux Part I,"Hack your way into this easy/medium level legendary TV series ""Chuck"" themed box!",,Easy,Walkthrough,Premium,25,30.10.2020,OS Terminal Tools,-,-,Linux
205,https://tryhackme.com/r/room/yearofthedog,Year of the Dog,Always so polite...,,Hard,CTF,Free,0,30.10.2020,,,,
206,https://tryhackme.com/r/room/wireshark,Wireshark 101,Learn the basics of Wireshark and how to analyze various protocols and PCAPs,Cyber Defense,Easy,Walkthrough,Premium,60,31.10.2020,Traffic Analysis Tools,Wireshark,Blue,-
207,https://tryhackme.com/r/room/theserverfromhell,The Server From Hell,Face a server that feels as if it was configured and deployed by Satan himself. Can you escalate to root?,,Medium,CTF,Free,0,01.11.2020,,,,
208,https://tryhackme.com/r/room/dllhijacking,DLL HIJACKING,DLL HIJACKING with Invoke-PrintDemon,,Medium,Walkthrough,Free,0,03.11.2020,,,,
209,https://tryhackme.com/r/room/javascriptbasics,JavaScript Basics,"Learn JavaScript, the high-level, multi-paradigm language of the web.",,Easy,Walkthrough,Free,0,04.11.2020,-,-,-,-
210,https://tryhackme.com/r/room/bruteit,Brute It,"Learn how to brute, hash cracking and escalate privileges in this box!",,Easy,CTF,Free,0,06.11.2020,,,,
211,https://tryhackme.com/r/room/startup,Startup,Abuse traditional vulnerabilities via untraditional means.,,Easy,CTF,Free,0,08.11.2020,"Web Scanning Tools, Network Scanning Tools, Scripting and Automation Tools, Traffic Analysis Tools",-,Red,Linux
212,https://tryhackme.com/r/room/lle,Walkthrough,Discover the forensic artefacts present within iOS.,,Easy,Walkthrough,Premium,0,10.11.2020,"Privilege Escalation Techniques and Tools, OS Terminal Tools",linPEAS,Red,Linux
213,https://tryhackme.com/r/room/mitre,MITRE,Linux: Local Enumeration,"SOC Level 1, Cyber Defense",Medium,Walkthrough,Premium,30,11.11.2020,-,-,Blue,Windows
214,https://tryhackme.com/r/room/yearoftheowl,Year of the Owl,MITRE,,Hard,CTF,Free,0,13.11.2020,,,,
215,https://tryhackme.com/r/room/attackingics1,Attacking ICS Plant 